Record Type,Data Provider,Settlement Date,Settlement Period,Price,Volume
MID,APXMIDP,20170101,1,44.90,505.000
MID,APXMIDP,20170101,2,47.13,559.150
MID,APXMIDP,20170101,3,45.62,649.350
MID,APXMIDP,20170101,4,44.05,712.650
MID,APXMIDP,20170101,5,44.83,599.150
MID,APXMIDP,20170101,6,45.51,499.300
MID,APXMIDP,20170101,7,44.85,474.500
MID,APXMIDP,20170101,8,42.80,487.000
MID,APXMIDP,20170101,9,42.33,348.850
MID,APXMIDP,20170101,10,40.87,262.300
MID,APXMIDP,20170101,11,41.53,341.500
MID,APXMIDP,20170101,12,41.89,350.750
MID,APXMIDP,20170101,13,42.64,447.200
MID,APXMIDP,20170101,14,42.61,501.000
MID,APXMIDP,20170101,15,40.78,1157.500
MID,APXMIDP,20170101,16,39.43,1006.500
MID,APXMIDP,20170101,17,38.29,1073.000
MID,APXMIDP,20170101,18,38.99,1069.000
MID,APXMIDP,20170101,19,42.46,835.000
MID,APXMIDP,20170101,20,42.53,753.750
MID,APXMIDP,20170101,21,41.86,653.450
MID,APXMIDP,20170101,22,41.74,801.900
MID,APXMIDP,20170101,23,40.77,448.450
MID,APXMIDP,20170101,24,40.33,529.350
MID,APXMIDP,20170101,25,42.65,479.850
MID,APXMIDP,20170101,26,42.71,474.350
MID,APXMIDP,20170101,27,44.06,505.700
MID,APXMIDP,20170101,28,45.00,529.000
MID,APXMIDP,20170101,29,43.24,489.550
MID,APXMIDP,20170101,30,41.49,510.900
MID,APXMIDP,20170101,31,43.82,775.750
MID,APXMIDP,20170101,32,42.50,624.250
MID,APXMIDP,20170101,33,43.73,488.300
MID,APXMIDP,20170101,34,53.34,362.300
MID,APXMIDP,20170101,35,67.98,434.650
MID,APXMIDP,20170101,36,59.17,414.400
MID,APXMIDP,20170101,37,50.79,547.200
MID,APXMIDP,20170101,38,44.67,834.750
MID,APXMIDP,20170101,39,48.52,863.850
MID,APXMIDP,20170101,40,47.52,974.750
MID,APXMIDP,20170101,41,47.08,1015.250
MID,APXMIDP,20170101,42,48.15,879.850
MID,APXMIDP,20170101,43,46.03,884.500
MID,APXMIDP,20170101,44,43.87,1194.450
MID,APXMIDP,20170101,45,45.51,989.950
MID,APXMIDP,20170101,46,44.95,969.350
MID,APXMIDP,20170101,47,42.91,506.950
MID,APXMIDP,20170101,48,41.05,771.250
MID,N2EXMIDP,20170101,1,0.00,0.000
MID,N2EXMIDP,20170101,2,0.00,0.000
MID,N2EXMIDP,20170101,3,0.00,0.000
MID,N2EXMIDP,20170101,4,0.00,0.000
MID,N2EXMIDP,20170101,5,0.00,0.000
MID,N2EXMIDP,20170101,6,0.00,0.000
MID,N2EXMIDP,20170101,7,0.00,0.000
MID,N2EXMIDP,20170101,8,0.00,0.000
MID,N2EXMIDP,20170101,9,0.00,0.000
MID,N2EXMIDP,20170101,10,0.00,0.000
MID,N2EXMIDP,20170101,11,0.00,0.000
MID,N2EXMIDP,20170101,12,0.00,0.000
MID,N2EXMIDP,20170101,13,0.00,0.000
MID,N2EXMIDP,20170101,14,0.00,0.000
MID,N2EXMIDP,20170101,15,0.00,0.000
MID,N2EXMIDP,20170101,16,0.00,0.000
MID,N2EXMIDP,20170101,17,0.00,0.000
MID,N2EXMIDP,20170101,18,0.00,0.000
MID,N2EXMIDP,20170101,19,0.00,0.000
MID,N2EXMIDP,20170101,20,0.00,0.000
MID,N2EXMIDP,20170101,21,0.00,0.000
MID,N2EXMIDP,20170101,22,0.00,0.000
MID,N2EXMIDP,20170101,23,0.00,0.000
MID,N2EXMIDP,20170101,24,0.00,0.000
MID,N2EXMIDP,20170101,25,0.00,0.000
MID,N2EXMIDP,20170101,26,0.00,0.000
MID,N2EXMIDP,20170101,27,0.00,0.000
MID,N2EXMIDP,20170101,28,0.00,0.000
MID,N2EXMIDP,20170101,29,0.00,0.000
MID,N2EXMIDP,20170101,30,0.00,0.000
MID,N2EXMIDP,20170101,31,0.00,0.000
MID,N2EXMIDP,20170101,32,0.00,0.000
MID,N2EXMIDP,20170101,33,0.00,0.000
MID,N2EXMIDP,20170101,34,0.00,0.000
MID,N2EXMIDP,20170101,35,0.00,0.000
MID,N2EXMIDP,20170101,36,0.00,0.000
MID,N2EXMIDP,20170101,37,0.00,0.000
MID,N2EXMIDP,20170101,38,0.00,0.000
MID,N2EXMIDP,20170101,39,0.00,0.000
MID,N2EXMIDP,20170101,40,0.00,0.000
MID,N2EXMIDP,20170101,41,0.00,0.000
MID,N2EXMIDP,20170101,42,0.00,0.000
MID,N2EXMIDP,20170101,43,0.00,0.000
MID,N2EXMIDP,20170101,44,0.00,0.000
MID,N2EXMIDP,20170101,45,0.00,0.000
MID,N2EXMIDP,20170101,46,0.00,0.000
MID,N2EXMIDP,20170101,47,0.00,0.000
MID,N2EXMIDP,20170101,48,0.00,0.000
MID,APXMIDP,20170102,1,42.59,529.700
MID,APXMIDP,20170102,2,44.45,414.800
MID,APXMIDP,20170102,3,43.28,546.000
MID,APXMIDP,20170102,4,42.84,341.300
MID,APXMIDP,20170102,5,42.91,402.300
MID,APXMIDP,20170102,6,43.14,463.700
MID,APXMIDP,20170102,7,43.37,307.650
MID,APXMIDP,20170102,8,41.19,436.100
MID,APXMIDP,20170102,9,41.92,458.550
MID,APXMIDP,20170102,10,41.30,445.850
MID,APXMIDP,20170102,11,43.84,547.500
MID,APXMIDP,20170102,12,44.29,448.150
MID,APXMIDP,20170102,13,45.11,509.900
MID,APXMIDP,20170102,14,41.00,972.250
MID,APXMIDP,20170102,15,42.97,545.000
MID,APXMIDP,20170102,16,43.27,894.000
MID,APXMIDP,20170102,17,42.08,445.000
MID,APXMIDP,20170102,18,41.51,554.200
MID,APXMIDP,20170102,19,45.50,526.700
MID,APXMIDP,20170102,20,45.52,558.550
MID,APXMIDP,20170102,21,44.22,572.300
MID,APXMIDP,20170102,22,45.11,569.500
MID,APXMIDP,20170102,23,46.03,550.800
MID,APXMIDP,20170102,24,46.70,645.950
MID,APXMIDP,20170102,25,47.52,563.500
MID,APXMIDP,20170102,26,46.73,603.000
MID,APXMIDP,20170102,27,45.98,640.850
MID,APXMIDP,20170102,28,45.60,637.900
MID,APXMIDP,20170102,29,46.04,645.500
MID,APXMIDP,20170102,30,45.23,705.100
MID,APXMIDP,20170102,31,45.76,496.850
MID,APXMIDP,20170102,32,44.88,592.700
MID,APXMIDP,20170102,33,43.64,780.800
MID,APXMIDP,20170102,34,74.20,627.900
MID,APXMIDP,20170102,35,75.62,427.150
MID,APXMIDP,20170102,36,73.00,524.750
MID,APXMIDP,20170102,37,68.44,565.650
MID,APXMIDP,20170102,38,65.55,668.600
MID,APXMIDP,20170102,39,72.51,831.700
MID,APXMIDP,20170102,40,56.32,343.250
MID,APXMIDP,20170102,41,51.28,431.900
MID,APXMIDP,20170102,42,50.78,446.750
MID,APXMIDP,20170102,43,48.72,718.950
MID,APXMIDP,20170102,44,45.37,635.150
MID,APXMIDP,20170102,45,46.71,625.450
MID,APXMIDP,20170102,46,44.67,785.750
MID,APXMIDP,20170102,47,44.58,594.300
MID,APXMIDP,20170102,48,43.74,563.050
MID,N2EXMIDP,20170102,1,0.00,0.000
MID,N2EXMIDP,20170102,2,0.00,0.000
MID,N2EXMIDP,20170102,3,0.00,0.000
MID,N2EXMIDP,20170102,4,0.00,0.000
MID,N2EXMIDP,20170102,5,0.00,0.000
MID,N2EXMIDP,20170102,6,0.00,0.000
MID,N2EXMIDP,20170102,7,0.00,0.000
MID,N2EXMIDP,20170102,8,0.00,0.000
MID,N2EXMIDP,20170102,9,0.00,0.000
MID,N2EXMIDP,20170102,10,0.00,0.000
MID,N2EXMIDP,20170102,11,0.00,0.000
MID,N2EXMIDP,20170102,12,0.00,0.000
MID,N2EXMIDP,20170102,13,0.00,0.000
MID,N2EXMIDP,20170102,14,0.00,0.000
MID,N2EXMIDP,20170102,15,0.00,0.000
MID,N2EXMIDP,20170102,16,0.00,0.000
MID,N2EXMIDP,20170102,17,0.00,0.000
MID,N2EXMIDP,20170102,18,0.00,0.000
MID,N2EXMIDP,20170102,19,0.00,0.000
MID,N2EXMIDP,20170102,20,0.00,0.000
MID,N2EXMIDP,20170102,21,0.00,0.000
MID,N2EXMIDP,20170102,22,0.00,0.000
MID,N2EXMIDP,20170102,23,0.00,0.000
MID,N2EXMIDP,20170102,24,0.00,0.000
MID,N2EXMIDP,20170102,25,0.00,0.000
MID,N2EXMIDP,20170102,26,0.00,0.000
MID,N2EXMIDP,20170102,27,0.00,0.000
MID,N2EXMIDP,20170102,28,0.00,0.000
MID,N2EXMIDP,20170102,29,0.00,0.000
MID,N2EXMIDP,20170102,30,0.00,0.000
MID,N2EXMIDP,20170102,31,0.00,0.000
MID,N2EXMIDP,20170102,32,0.00,0.000
MID,N2EXMIDP,20170102,33,0.00,0.000
MID,N2EXMIDP,20170102,34,0.00,0.000
MID,N2EXMIDP,20170102,35,0.00,0.000
MID,N2EXMIDP,20170102,36,0.00,0.000
MID,N2EXMIDP,20170102,37,0.00,0.000
MID,N2EXMIDP,20170102,38,0.00,0.000
MID,N2EXMIDP,20170102,39,0.00,0.000
MID,N2EXMIDP,20170102,40,0.00,0.000
MID,N2EXMIDP,20170102,41,0.00,0.000
MID,N2EXMIDP,20170102,42,0.00,0.000
MID,N2EXMIDP,20170102,43,0.00,0.000
MID,N2EXMIDP,20170102,44,0.00,0.000
MID,N2EXMIDP,20170102,45,0.00,0.000
MID,N2EXMIDP,20170102,46,0.00,0.000
MID,N2EXMIDP,20170102,47,0.00,0.000
MID,N2EXMIDP,20170102,48,0.00,0.000
MID,APXMIDP,20170103,1,43.33,482.400
MID,APXMIDP,20170103,2,44.44,624.750
MID,APXMIDP,20170103,3,43.53,570.950
MID,APXMIDP,20170103,4,42.05,496.950
MID,APXMIDP,20170103,5,40.77,522.200
