datetime,Settlement_Period,INDO
2017-01-01 0:00,1,27239
2017-01-01 0:30,2,27814
2017-01-01 1:00,3,27453
2017-01-01 1:30,4,26312
2017-01-01 2:00,5,25289
2017-01-01 2:30,6,24616
2017-01-01 3:00,7,23654
2017-01-01 3:30,8,22806
2017-01-01 4:00,9,22234
2017-01-01 4:30,10,21928
2017-01-01 5:00,11,21726
2017-01-01 5:30,12,21597
2017-01-01 6:00,13,21887
2017-01-01 6:30,14,22082
2017-01-01 7:00,15,22376
2017-01-01 7:30,16,22615
2017-01-01 8:00,17,23452
2017-01-01 8:30,18,24422
2017-01-01 9:00,19,25909
2017-01-01 9:30,20,27198
2017-01-01 10:00,21,28831
2017-01-01 10:30,22,30062
2017-01-01 11:00,23,31235
2017-01-01 11:30,24,32075
2017-01-01 12:00,25,32956
2017-01-01 12:30,26,33338
2017-01-01 13:00,27,33346
2017-01-01 13:30,28,33264
2017-01-01 14:00,29,33429
2017-01-01 14:30,30,33523
2017-01-01 15:00,31,33956
2017-01-01 15:30,32,34737
2017-01-01 16:00,33,36251
2017-01-01 16:30,34,37640
2017-01-01 17:00,35,38019
2017-01-01 17:30,36,37857
2017-01-01 18:00,37,37300
2017-01-01 18:30,38,36441
2017-01-01 19:00,39,35529
2017-01-01 19:30,40,34485
2017-01-01 20:00,41,34026
2017-01-01 20:30,42,33022
2017-01-01 21:00,43,31800
2017-01-01 21:30,44,30619
2017-01-01 22:00,45,29452
2017-01-01 22:30,46,28519
2017-01-01 23:00,47,26793
2017-01-01 23:30,48,25936
2017-01-02 0:00,1,25848
2017-01-02 0:30,2,26137
2017-01-02 1:00,3,26006
2017-01-02 1:30,4,25166
2017-01-02 2:00,5,24726
2017-01-02 2:30,6,24556
2017-01-02 3:00,7,24025
2017-01-02 3:30,8,23527
2017-01-02 4:00,9,23242
2017-01-02 4:30,10,23241
2017-01-02 5:00,11,23478
2017-01-02 5:30,12,23939
2017-01-02 6:00,13,25232
2017-01-02 6:30,14,26181
2017-01-02 7:00,15,27055
2017-01-02 7:30,16,27648
2017-01-02 8:00,17,28925
2017-01-02 8:30,18,30324
2017-01-02 9:00,19,31662
2017-01-02 9:30,20,32438
2017-01-02 10:00,21,32981
2017-01-02 10:30,22,33081
2017-01-02 11:00,23,33096
2017-01-02 11:30,24,33038
2017-01-02 12:00,25,33212
2017-01-02 12:30,26,33240
2017-01-02 13:00,27,33447
2017-01-02 13:30,28,33662
2017-01-02 14:00,29,34167
2017-01-02 14:30,30,34916
2017-01-02 15:00,31,36007
2017-01-02 15:30,32,37499
2017-01-02 16:00,33,39712
2017-01-02 16:30,34,42838
2017-01-02 17:00,35,44386
2017-01-02 17:30,36,44593
2017-01-02 18:00,37,44047
2017-01-02 18:30,38,43181
2017-01-02 19:00,39,42367
2017-01-02 19:30,40,41148
2017-01-02 20:00,41,39919
2017-01-02 20:30,42,38574
2017-01-02 21:00,43,36857
2017-01-02 21:30,44,34879
2017-01-02 22:00,45,33107
2017-01-02 22:30,46,31286
2017-01-02 23:00,47,29180
2017-01-02 23:30,48,27887
2017-01-03 0:00,1,27660
2017-01-03 0:30,2,27885
2017-01-03 1:00,3,27391
2017-01-03 1:30,4,26545
2017-01-03 2:00,5,25995
2017-01-03 2:30,6,25768
2017-01-03 3:00,7,25328
2017-01-03 3:30,8,24873
2017-01-03 4:00,9,24632
2017-01-03 4:30,10,24656
2017-01-03 5:00,11,25258
2017-01-03 5:30,12,26407
2017-01-03 6:00,13,29397
2017-01-03 6:30,14,32128
2017-01-03 7:00,15,35323
2017-01-03 7:30,16,37286
2017-01-03 8:00,17,38790
2017-01-03 8:30,18,39834
2017-01-03 9:00,19,40699
2017-01-03 9:30,20,40792
2017-01-03 10:00,21,40835
2017-01-03 10:30,22,40714
2017-01-03 11:00,23,40679
2017-01-03 11:30,24,40788
2017-01-03 12:00,25,41024
2017-01-03 12:30,26,40860
2017-01-03 13:00,27,40936
2017-01-03 13:30,28,41006
2017-01-03 14:00,29,41239
2017-01-03 14:30,30,41466
2017-01-03 15:00,31,42016
2017-01-03 15:30,32,42878
2017-01-03 16:00,33,44196
2017-01-03 16:30,34,46192
2017-01-03 17:00,35,46666
2017-01-03 17:30,36,46336
2017-01-03 18:00,37,45886
2017-01-03 18:30,38,45313
2017-01-03 19:00,39,44711
2017-01-03 19:30,40,43381
2017-01-03 20:00,41,41923
2017-01-03 20:30,42,39961
2017-01-03 21:00,43,37945
2017-01-03 21:30,44,35513
2017-01-03 22:00,45,33333
2017-01-03 22:30,46,31205
2017-01-03 23:00,47,29002
2017-01-03 23:30,48,27654
2017-01-04 0:00,1,27400
2017-01-04 0:30,2,27809
2017-01-04 1:00,3,27477
2017-01-04 1:30,4,26867
2017-01-04 2:00,5,26316
2017-01-04 2:30,6,26472
2017-01-04 3:00,7,26113
2017-01-04 3:30,8,25689
2017-01-04 4:00,9,25486
2017-01-04 4:30,10,25530
2017-01-04 5:00,11,26366
2017-01-04 5:30,12,27426
2017-01-04 6:00,13,30501
2017-01-04 6:30,14,33480
2017-01-04 7:00,15,37245
2017-01-04 7:30,16,39331
2017-01-04 8:00,17,40674
2017-01-04 8:30,18,41206
2017-01-04 9:00,19,41999
2017-01-04 9:30,20,42366
2017-01-04 10:00,21,42153
2017-01-04 10:30,22,41995
2017-01-04 11:00,23,42144
2017-01-04 11:30,24,42005
2017-01-04 12:00,25,41990
2017-01-04 12:30,26,41982
2017-01-04 13:00,27,41820
2017-01-04 13:30,28,41809
2017-01-04 14:00,29,42042
2017-01-04 14:30,30,42239
2017-01-04 15:00,31,42715
2017-01-04 15:30,32,44069
2017-01-04 16:00,33,45573
2017-01-04 16:30,34,47432
2017-01-04 17:00,35,48087
2017-01-04 17:30,36,47844
2017-01-04 18:00,37,47822
2017-01-04 18:30,38,47497
2017-01-04 19:00,39,47109
2017-01-04 19:30,40,45986
2017-01-04 20:00,41,44601
2017-01-04 20:30,42,42816
2017-01-04 21:00,43,40857
2017-01-04 21:30,44,38540
2017-01-04 22:00,45,36302
2017-01-04 22:30,46,34098
2017-01-04 23:00,47,31762
2017-01-04 23:30,48,30507
2017-01-05 0:00,1,30126
2017-01-05 0:30,2,30566
2017-01-05 1:00,3,30395
2017-01-05 1:30,4,29757
2017-01-05 2:00,5,29346
2017-01-05 2:30,6,29369
2017-01-05 3:00,7,29004
2017-01-05 3:30,8,28568
2017-01-05 4:00,9,28405
2017-01-05 4:30,10,28597
2017-01-05 5:00,11,29344
2017-01-05 5:30,12,30712
2017-01-05 6:00,13,34016
2017-01-05 6:30,14,37324
2017-01-05 7:00,15,41204
2017-01-05 7:30,16,43274
2017-01-05 8:00,17,44193
2017-01-05 8:30,18,44188
2017-01-05 9:00,19,44840
2017-01-05 9:30,20,44698
2017-01-05 10:00,21,44209
2017-01-05 10:30,22,43864
2017-01-05 11:00,23,43406
2017-01-05 11:30,24,42957
2017-01-05 12:00,25,42885
2017-01-05 12:30,26,42726
2017-01-05 13:00,27,42751
2017-01-05 13:30,28,42828
2017-01-05 14:00,29,43090
2017-01-05 14:30,30,43374
2017-01-05 15:00,31,44015
2017-01-05 15:30,32,45282
2017-01-05 16:00,33,47040
2017-01-05 16:30,34,48991
2017-01-05 17:00,35,49239
2017-01-05 17:30,36,48818
2017-01-05 18:00,37,48596
2017-01-05 18:30,38,48549
2017-01-05 19:00,39,47994
2017-01-05 19:30,40,46664
2017-01-05 20:00,41,45267
2017-01-05 20:30,42,43313
2017-01-05 21:00,43,41305
2017-01-05 21:30,44,38838
2017-01-05 22:00,45,36466
