Settlement Date,Settlement Period,INDO
20170101,1,27239
20170101,2,27814
20170101,3,27453
20170101,4,26312
20170101,5,25289
20170101,6,24616
20170101,7,23654
20170101,8,22806
20170101,9,22234
20170101,10,21928
20170101,11,21726
20170101,12,21597
20170101,13,21887
20170101,14,22082
20170101,15,22376
20170101,16,22615
20170101,17,23452
20170101,18,24422
20170101,19,25909
20170101,20,27198
20170101,21,28831
20170101,22,30062
20170101,23,31235
20170101,24,32075
20170101,25,32956
20170101,26,33338
20170101,27,33346
20170101,28,33264
20170101,29,33429
20170101,30,33523
20170101,31,33956
20170101,32,34737
20170101,33,36251
20170101,34,37640
20170101,35,38019
20170101,36,37857
20170101,37,37300
20170101,38,36441
20170101,39,35529
20170101,40,34485
20170101,41,34026
20170101,42,33022
20170101,43,31800
20170101,44,30619
20170101,45,29452
20170101,46,28519
20170101,47,26793
20170101,48,25936
20170101,1,27949
20170101,2,28435
20170101,3,28165
20170101,4,27707
20170101,5,27449
20170101,6,26594
20170101,7,25900
20170101,8,25446
20170101,9,24833
20170101,10,24641
20170101,11,24435
20170101,12,24290
20170101,13,24621
20170101,14,24672
20170101,15,24930
20170101,16,24295
20170101,17,24432
20170101,18,25359
20170101,19,26516
20170101,20,27914
20170101,21,29441
20170101,22,30671
20170101,23,31843
20170101,24,32692
20170101,25,33683
20170101,26,34057
20170101,27,34117
20170101,28,34037
20170101,29,34155
20170101,30,34274
20170101,31,34645
20170101,32,35454
20170101,33,37042
20170101,34,38397
20170101,35,38677
20170101,36,38619
20170101,37,38187
20170101,38,37254
20170101,39,36930
20170101,40,35936
20170101,41,34815
20170101,42,33828
20170101,43,32763
20170101,44,31535
20170101,45,30825
20170101,46,29821
20170101,47,28381
20170101,48,27561
20170102,1,25848
20170102,2,26137
20170102,3,26006
20170102,4,25166
20170102,5,24726
20170102,6,24556
20170102,7,24025
20170102,8,23527
20170102,9,23242
20170102,10,23241
20170102,11,23478
20170102,12,23939
20170102,13,25232
20170102,14,26181
20170102,15,27055
20170102,16,27648
20170102,17,28925
20170102,18,30324
20170102,19,31662
20170102,20,32438
20170102,21,32981
20170102,22,33081
20170102,23,33096
20170102,24,33038
20170102,25,33212
20170102,26,33240
20170102,27,33447
20170102,28,33662
20170102,29,34167
20170102,30,34916
20170102,31,36007
20170102,32,37499
20170102,33,39712
20170102,34,42838
20170102,35,44386
20170102,36,44593
20170102,37,44047
20170102,38,43181
20170102,39,42367
20170102,40,41148
20170102,41,39919
20170102,42,38574
20170102,43,36857
20170102,44,34879
20170102,45,33107
20170102,46,31286
20170102,47,29180
20170102,48,27887
20170102,1,26637
20170102,2,26827
20170102,3,27038
20170102,4,26706
20170102,5,26692
20170102,6,26606
20170102,7,26578
20170102,8,26219
20170102,9,25935
20170102,10,25925
20170102,11,26112
20170102,12,26441
20170102,13,27350
20170102,14,27986
20170102,15,28521
20170102,16,29053
20170102,17,30609
20170102,18,32025
20170102,19,33342
20170102,20,34087
20170102,21,34641
20170102,22,34769
20170102,23,34802
20170102,24,34981
20170102,25,35207
20170102,26,35246
20170102,27,35295
20170102,28,35484
20170102,29,35923
20170102,30,36674
20170102,31,37629
20170102,32,39088
20170102,33,40646
20170102,34,43901
20170102,35,45486
20170102,36,45782
20170102,37,45300
20170102,38,44568
20170102,39,43753
20170102,40,42529
20170102,41,41156
20170102,42,39905
20170102,43,38516
20170102,44,36395
20170102,45,34838
20170102,46,33015
20170102,47,30394
20170102,48,29097
20170103,1,27660
20170103,2,27885
20170103,3,27391
20170103,4,26545
20170103,5,25995
20170103,6,25768
