datetime,Settlement Period,ITSDO
2017-01-01 0:00,1,27949
2017-01-01 0:30,2,28435
2017-01-01 1:00,3,28165
2017-01-01 1:30,4,27707
2017-01-01 2:00,5,27449
2017-01-01 2:30,6,26594
2017-01-01 3:00,7,25900
2017-01-01 3:30,8,25446
2017-01-01 4:00,9,24833
2017-01-01 4:30,10,24641
2017-01-01 5:00,11,24435
2017-01-01 5:30,12,24290
2017-01-01 6:00,13,24621
2017-01-01 6:30,14,24672
2017-01-01 7:00,15,24930
2017-01-01 7:30,16,24295
2017-01-01 8:00,17,24432
2017-01-01 8:30,18,25359
2017-01-01 9:00,19,26516
2017-01-01 9:30,20,27914
2017-01-01 10:00,21,29441
2017-01-01 10:30,22,30671
2017-01-01 11:00,23,31843
2017-01-01 11:30,24,32692
2017-01-01 12:00,25,33683
2017-01-01 12:30,26,34057
2017-01-01 13:00,27,34117
2017-01-01 13:30,28,34037
2017-01-01 14:00,29,34155
2017-01-01 14:30,30,34274
2017-01-01 15:00,31,34645
2017-01-01 15:30,32,35454
2017-01-01 16:00,33,37042
2017-01-01 16:30,34,38397
2017-01-01 17:00,35,38677
2017-01-01 17:30,36,38619
2017-01-01 18:00,37,38187
2017-01-01 18:30,38,37254
2017-01-01 19:00,39,36930
2017-01-01 19:30,40,35936
2017-01-01 20:00,41,34815
2017-01-01 20:30,42,33828
2017-01-01 21:00,43,32763
2017-01-01 21:30,44,31535
2017-01-01 22:00,45,30825
2017-01-01 22:30,46,29821
2017-01-01 23:00,47,28381
2017-01-01 23:30,48,27561
2017-01-02 0:00,1,26637
2017-01-02 0:30,2,26827
2017-01-02 1:00,3,27038
2017-01-02 1:30,4,26706
2017-01-02 2:00,5,26692
2017-01-02 2:30,6,26606
2017-01-02 3:00,7,26578
2017-01-02 3:30,8,26219
2017-01-02 4:00,9,25935
2017-01-02 4:30,10,25925
2017-01-02 5:00,11,26112
2017-01-02 5:30,12,26441
2017-01-02 6:00,13,27350
2017-01-02 6:30,14,27986
2017-01-02 7:00,15,28521
2017-01-02 7:30,16,29053
2017-01-02 8:00,17,30609
2017-01-02 8:30,18,32025
2017-01-02 9:00,19,33342
2017-01-02 9:30,20,34087
2017-01-02 10:00,21,34641
2017-01-02 10:30,22,34769
2017-01-02 11:00,23,34802
2017-01-02 11:30,24,34981
2017-01-02 12:00,25,35207
2017-01-02 12:30,26,35246
2017-01-02 13:00,27,35295
2017-01-02 13:30,28,35484
2017-01-02 14:00,29,35923
2017-01-02 14:30,30,36674
2017-01-02 15:00,31,37629
2017-01-02 15:30,32,39088
2017-01-02 16:00,33,40646
2017-01-02 16:30,34,43901
2017-01-02 17:00,35,45486
2017-01-02 17:30,36,45782
2017-01-02 18:00,37,45300
2017-01-02 18:30,38,44568
2017-01-02 19:00,39,43753
2017-01-02 19:30,40,42529
2017-01-02 20:00,41,41156
2017-01-02 20:30,42,39905
2017-01-02 21:00,43,38516
2017-01-02 21:30,44,36395
2017-01-02 22:00,45,34838
2017-01-02 22:30,46,33015
2017-01-02 23:00,47,30394
2017-01-02 23:30,48,29097
2017-01-03 0:00,1,29104
2017-01-03 0:30,2,29770
2017-01-03 1:00,3,29554
2017-01-03 1:30,4,29065
2017-01-03 2:00,5,28608
2017-01-03 2:30,6,28365
2017-01-03 3:00,7,27922
2017-01-03 3:30,8,27545
2017-01-03 4:00,9,28474
2017-01-03 4:30,10,28510
2017-01-03 5:00,11,28975
2017-01-03 5:30,12,29288
2017-01-03 6:00,13,31163
2017-01-03 6:30,14,33759
2017-01-03 7:00,15,36953
2017-01-03 7:30,16,38916
2017-01-03 8:00,17,40421
2017-01-03 8:30,18,41464
2017-01-03 9:00,19,42330
2017-01-03 9:30,20,42489
2017-01-03 10:00,21,42628
2017-01-03 10:30,22,42510
2017-01-03 11:00,23,42549
2017-01-03 11:30,24,42710
2017-01-03 12:00,25,42926
2017-01-03 12:30,26,42704
2017-01-03 13:00,27,42727
2017-01-03 13:30,28,42887
2017-01-03 14:00,29,43039
2017-01-03 14:30,30,43262
2017-01-03 15:00,31,43828
2017-01-03 15:30,32,44615
2017-01-03 16:00,33,45096
2017-01-03 16:30,34,47212
2017-01-03 17:00,35,47784
2017-01-03 17:30,36,47644
2017-01-03 18:00,37,47402
2017-01-03 18:30,38,46754
2017-01-03 19:00,39,46405
2017-01-03 19:30,40,45032
2017-01-03 20:00,41,43504
2017-01-03 20:30,42,41469
2017-01-03 21:00,43,40050
2017-01-03 21:30,44,37581
