datetime,Price,Volume,Settlement Period,hour,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear
2017-01-01 00:00:00,44.9,505.0,1,0.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 00:30:00,47.13,559.15,2,0.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 01:00:00,45.62,649.35,3,1.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 01:30:00,44.05,712.65,4,1.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 02:00:00,44.83,599.15,5,2.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 02:30:00,45.51,499.3,6,2.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 03:00:00,44.85,474.5,7,3.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 03:30:00,42.8,487.0,8,3.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 04:00:00,42.33,348.85,9,4.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 04:30:00,40.87,262.3,10,4.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 05:00:00,41.53,341.5,11,5.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 05:30:00,41.89,350.75,12,5.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 06:00:00,42.64,447.2,13,6.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 06:30:00,42.61,501.0,14,6.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 07:00:00,40.78,1157.5,15,7.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 07:30:00,39.43,1006.5,16,7.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 08:00:00,38.29,1073.0,17,8.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 08:30:00,38.99,1069.0,18,8.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 09:00:00,42.46,835.0,19,9.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 09:30:00,42.53,753.75,20,9.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 10:00:00,41.86,653.45,21,10.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 10:30:00,41.74,801.9,22,10.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 11:00:00,40.77,448.45,23,11.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 11:30:00,40.33,529.35,24,11.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 12:00:00,42.65,479.85,25,12.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 12:30:00,42.71,474.35,26,12.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 13:00:00,44.06,505.7,27,13.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 13:30:00,45.0,529.0,28,13.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 14:00:00,43.24,489.55,29,14.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 14:30:00,41.49,510.9,30,14.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 15:00:00,43.82,775.75,31,15.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 15:30:00,42.5,624.25,32,15.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 16:00:00,43.73,488.3,33,16.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 16:30:00,53.34,362.3,34,16.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 17:00:00,67.98,434.65,35,17.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 17:30:00,59.17,414.4,36,17.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 18:00:00,50.79,547.2,37,18.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 18:30:00,44.67,834.75,38,18.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 19:00:00,48.52,863.85,39,19.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
2017-01-01 19:30:00,47.52,974.75,40,19.0,Sun,1.0,Jan,2017.0,1.0,1.0,52.0
