Date,SAP(£/MWh),EU ETS (£/MWh),Gas (£/MWh)
2016-01-01,10.44,1.099206592,14.84820659
2016-01-02,10.29,1.099206592,14.70020659
2016-01-03,10.44,1.099206592,14.85320659
2016-01-04,11.22,1.099206592,15.63520659
2016-01-05,11.25,1.090321471,15.65432147
2016-01-06,11.48,1.052374881,15.84637488
2016-01-07,11.92,1.029240317,16.26124032
2016-01-08,11.61,1.022289218,15.94328922
2016-01-09,11.32,1.022289218,15.65128922
2016-01-10,11.37,1.022289218,15.70128922
2016-01-11,11.55,0.992598099,15.8545981
2016-01-12,10.84,0.984830054,15.13383005
2016-01-13,11.84,1.009701371,16.16170137
2016-01-14,11.01,0.98455313,15.30355313
2016-01-15,11.36,0.932329081,15.60232908
2016-01-16,11.32,0.932329081,15.56432908
2016-01-17,11.2,0.932329081,15.43932908
2016-01-18,10.66,0.952122151,14.92412215
2016-01-19,10.71,0.962592619,14.98459262
2016-01-20,10.77,0.900418724,14.97741872
2016-01-21,10.2,0.879787614,14.39078761
2016-01-22,10.79,0.8932482,14.9952482
2016-01-23,11.1,0.8932482,15.3082482
2016-01-24,10.38,0.8932482,14.5892482
2016-01-25,9.9,0.823127254,14.03612725
2016-01-26,10.06,0.852943277,14.22094328
2016-01-27,10.45,0.825132699,14.5891327
2016-01-28,10.85,0.853482334,15.01048233
2016-01-29,10.7,0.851574515,14.86557451
2016-01-30,10.66,0.851574515,14.81857451
2016-01-31,10.67,0.851574515,14.83457451
2016-02-01,10.3,0.79884489,14.40584489
2016-02-02,10.17,0.814805042,14.29380504
2016-02-03,10.27,0.786352194,14.36835219
2016-02-04,9.71,0.784220341,13.80922034
2016-02-05,9.82,0.787250729,13.92025073
2016-02-06,9.52,0.787250729,13.62225073
2016-02-07,9.57,0.787250729,13.67125073
2016-02-08,10.22,0.743276464,14.27127646
2016-02-09,9.88,0.709146052,13.90214605
2016-02-10,9.92,0.701482472,13.93348247
2016-02-11,9.83,0.67781783,13.82081783
2016-02-12,10.39,0.733996349,14.43699635
2016-02-13,10.27,0.733996349,14.31299635
2016-02-14,9.93,0.733996349,13.97899635
2016-02-15,10.41,0.686643335,14.40364333
2016-02-16,10.07,0.66788742,14.04988742
2016-02-17,10.55,0.731484304,14.5944843
2016-02-18,9.96,0.752895197,14.0258952
2016-02-19,9.81,0.736672552,13.85567255
2016-02-20,10.08,0.736672552,14.12967255
2016-02-21,9.68,0.736672552,13.72467255
2016-02-22,10.04,0.770540695,14.1195407
2016-02-23,10.51,0.703910841,14.52891084
2016-02-24,10.39,0.702449732,14.40144973
2016-02-25,10.27,0.738703539,14.32070354
2016-02-26,10.32,0.727714533,14.35971453
2016-02-27,10.1,0.727714533,14.13771453
2016-02-28,10.07,0.727714533,14.11171453
2016-02-29,10.68,0.726347265,14.71934727
